Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,Utilities,LandSlope,Neighborhood,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,ExterCond,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,PavedDrive,OpenPorchSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,2Story,5,2003,2003,Gable,CompShg,VinylSd,TA,Gd,TA,856,GasA,Ex,Y,SBrkr,856,854,1710,2,1,3,Gd,8,Typ,0,NA,2003,2,548,TA,Y,61,0,NA,NA,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,NA,Lvl,AllPub,Gtl,Veenker,1Fam,1Story,8,1976,1976,Gable,CompShg,MetalSd,TA,Gd,TA,1262,GasA,Ex,Y,SBrkr,1262,0,1262,2,0,3,TA,6,Typ,1,TA,1976,2,460,TA,Y,0,0,NA,NA,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,2Story,5,2001,2002,Gable,CompShg,VinylSd,TA,Gd,TA,920,GasA,Ex,Y,SBrkr,920,866,1786,2,1,3,Gd,6,Typ,1,TA,2001,2,608,TA,Y,42,0,NA,NA,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,NA,Lvl,AllPub,Gtl,Crawfor,1Fam,2Story,5,1915,1970,Gable,CompShg,Wd Sdng,TA,TA,Gd,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,3,Gd,7,Typ,1,Gd,1998,3,642,TA,Y,35,0,NA,NA,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,NA,Lvl,AllPub,Gtl,NoRidge,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,TA,Gd,TA,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,2,1,4,Gd,9,Typ,1,TA,2000,3,836,TA,Y,84,0,NA,NA,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,NA,Lvl,AllPub,Gtl,Mitchel,1Fam,1.5Fin,5,1993,1995,Gable,CompShg,VinylSd,TA,Gd,TA,796,GasA,Ex,Y,SBrkr,796,566,1362,1,1,1,TA,5,Typ,0,NA,1993,2,480,TA,Y,30,0,NA,MnPrv,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,NA,Lvl,AllPub,Gtl,Somerst,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,TA,Ex,TA,1686,GasA,Ex,Y,SBrkr,1694,0,1694,2,0,3,Gd,7,Typ,1,Gd,2004,2,636,TA,Y,57,0,NA,NA,8,2007,WD,Normal,307000
8,60,RL,NA,10382,Pave,NA,Lvl,AllPub,Gtl,NWAmes,1Fam,2Story,6,1973,1973,Gable,CompShg,HdBoard,TA,Gd,TA,1107,GasA,Ex,Y,SBrkr,1107,983,2090,2,1,3,TA,7,Typ,2,TA,1973,2,484,TA,Y,204,0,NA,NA,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,NA,Lvl,AllPub,Gtl,OldTown,1Fam,1.5Fin,5,1931,1950,Gable,CompShg,BrkFace,TA,TA,TA,952,GasA,Gd,Y,FuseF,1022,752,1774,2,0,2,TA,8,Min1,2,TA,1931,2,468,Fa,Y,0,0,NA,NA,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,NA,Lvl,AllPub,Gtl,BrkSide,2fmCon,1.5Unf,6,1939,1950,Gable,CompShg,MetalSd,TA,TA,TA,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,2,TA,5,Typ,2,TA,1939,1,205,Gd,Y,4,0,NA,NA,1,2008,WD,Normal,118000
11,20,RL,70,11200,Pave,NA,Lvl,AllPub,Gtl,Sawyer,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,TA,TA,TA,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,3,TA,5,Typ,0,NA,1965,1,384,TA,Y,0,0,NA,NA,2,2008,WD,Normal,129500
12,60,RL,85,11924,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,2Story,5,2005,2006,Hip,CompShg,WdShing,TA,Ex,TA,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,3,0,4,Ex,11,Typ,2,Gd,2005,3,736,TA,Y,21,0,NA,NA,7,2006,New,Partial,345000
13,20,RL,NA,12968,Pave,NA,Lvl,AllPub,Gtl,Sawyer,1Fam,1Story,6,1962,1962,Hip,CompShg,HdBoard,TA,TA,TA,912,GasA,TA,Y,SBrkr,912,0,912,1,0,2,TA,4,Typ,0,NA,1962,1,352,TA,Y,0,0,NA,NA,9,2008,WD,Normal,144000
14,20,RL,91,10652,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,5,2006,2007,Gable,CompShg,VinylSd,TA,Gd,TA,1494,GasA,Ex,Y,SBrkr,1494,0,1494,2,0,3,Gd,7,Typ,1,Gd,2006,3,840,TA,Y,33,0,NA,NA,8,2007,New,Partial,279500
15,20,RL,NA,10920,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,5,1960,1960,Hip,CompShg,MetalSd,TA,TA,TA,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,2,TA,5,Typ,1,Fa,1960,1,352,TA,Y,213,0,NA,GdWo,5,2008,WD,Normal,157000
